Category,Abbrv,Amount of URLS,URLS last search index,Amount of Data,Data last search index,Amount of Cleaned Email Data
Business Support and Supplies,bss,24473,24473,21116,21116.0,20788.0
Cars and Automotive,cars,11698,11698,11491,,
Construction and Engineering,CE,24827,24827,24821,24821.0,3934.0
Computer and Electronics,computer,9187,4502,4500,,
Fashion and Accessories,F&A,7020,5002,4999,,
Healthcare and Medication,H&M,13836,3002,2996,,
Home and Living ,H&L,16913,3002,3000,,
Retail Stores ,retail,12001,7002,6992,,
Sports and Hobbies,sports,1655,1655,1651,,
Trading and Manufacturing,trading,12001,3502,3499,,
